"y" "n" "arrond" "wf" "wn"
4 5 62 3518.355 1.618
3 5 62 3518.355 1.618
1 1 62 4059.372 1.867
1 13 62 1645.935 0.757
1 4 62 1645.935 0.757
4 15 62 1511.621 0.695
1 9 62 1511.621 0.695
4 9 62 1714.089 0.788
3 11 62 1714.089 0.788
1 6 62 1582.476 0.728
6 13 62 1765.951 0.812
6 14 62 2000.395 0.92
8 16 62 2000.395 0.92
0 2 62 3190.47 1.467
3 6 62 3190.47 1.467
5 5 62 3663.122 1.685
2 2 62 6799.5 3.127
1 3 62 6390.746 2.939
1 2 62 6390.746 2.939
1 8 63 1654.271 0.764
0 7 63 1654.271 0.764
0 3 63 1851.906 0.856
0 4 63 1851.906 0.856
0 3 63 1768.936 0.817
1 5 63 1768.936 0.817
0 3 63 1526.224 0.705
2 7 63 1760.854 0.814
2 2 63 2004.463 0.926
2 7 63 2004.463 0.926
2 2 63 2852.758 1.318
0 3 63 2852.758 1.318
2 2 63 2767.996 1.279
2 2 63 3338.808 1.543
0 1 63 3054.176 1.411
0 1 63 3054.176 1.411
0 3 63 1759.386 0.813
0 3 63 1759.386 0.813
0 5 63 1615.814 0.747
0 5 63 1615.814 0.747
0 8 63 1563.577 0.722
0 2 63 1563.577 0.722
2 6 63 1443.521 0.667
1 6 63 1683.706 0.778
1 4 63 1907.231 0.881
5 8 63 1907.231 0.881
4 7 63 2784.217 1.286
3 5 63 3196.685 1.477
0 2 63 5552.519 2.566
2 3 63 5218.728 2.411
2 3 63 5218.728 2.411
1 4 71 1501.175 0.741
3 7 71 1501.175 0.741
0 5 71 1680.52 0.83
4 13 71 1680.52 0.83
3 6 71 1929.093 0.953
0 3 71 1929.093 0.953
3 8 71 1664.406 0.822
0 9 71 1908.988 0.943
1 8 71 2173.091 1.073
3 7 71 2173.091 1.073
6 8 71 3066.581 1.514
3 4 71 3066.581 1.514
0 2 71 2975.465 1.469
2 3 71 3239.078 1.6
1 1 71 2962.948 1.463
2 2 71 3418.56 1.688
1 10 71 1580.667 0.781
3 11 71 1580.667 0.781
0 7 71 1451.68 0.717
2 10 71 1451.68 0.717
2 7 71 1718.148 0.848
0 8 71 1718.148 0.848
2 10 71 1586.224 0.783
1 8 71 1821.3 0.899
3 7 71 2063.092 1.019
3 6 71 2063.092 1.019
1 1 71 2934.812 1.449
2 4 71 2934.812 1.449
1 1 71 3369.59 1.664
0 3 71 4895.417 2.418
1 1 71 4601.128 2.272
1 1 71 4601.128 2.272
1 1 71 4324.082 2.135
1 3 72 2014.743 0.803
0 6 72 2014.743 0.803
0 1 72 2255.444 0.899
0 3 72 2255.444 0.899
1 3 72 2328.849 0.928
0 1 72 2328.849 0.928
1 6 72 2009.313 0.801
3 4 72 2465.057 0.982
2 4 72 2806.09 1.118
3 4 72 2806.09 1.118
0 3 72 3812.103 1.519
0 1 72 3812.103 1.519
1 2 72 3698.836 1.474
0 1 72 3395.111 1.353
0 3 72 2099.444 0.837
1 3 72 2099.444 0.837
1 2 72 1928.123 0.768
1 4 72 1928.123 0.768
0 5 72 2059.748 0.821
1 3 72 2059.748 0.821
2 5 72 1901.594 0.758
0 2 72 2313.722 0.922
0 3 72 2620.886 1.045
3 6 72 2620.886 1.045
1 4 72 3475.746 1.385
0 1 72 3475.746 1.385
2 2 72 3990.661 1.59
1 1 72 5179.111 2.064
1 2 73 1560.055 0.717
1 5 73 1746.434 0.803
1 5 73 1746.434 0.803
1 6 73 2017.82 0.928
1 2 73 2017.82 0.928
2 3 73 1740.959 0.801
1 6 73 2067.532 0.951
1 4 73 2353.569 1.082
2 3 73 3421.635 1.574
